Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,month,day,hour,minute
60,0,22.0,44.0,21,44,20,46,21,47,19,51.0,6.0,85,18,43.0,19,49,17,44.0,6,736,87,7.0,40.0,4.0,1,11,11,0
60,0,22.0,44.0,21,44,20,46,21,46,19,51.0,6.0,86,18,43.0,19,50,17,45.0,6,736,88,7.0,37.0,4.0,1,11,11,10
50,0,22.0,44.0,21,44,20,46,21,46,19,51.0,6.0,86,18,43.0,19,50,17,45.0,6,736,89,7.0,34.0,4.0,1,11,11,20
70,0,22.0,44.0,21,44,20,46,21,47,19,51.0,6.0,87,18,43.0,19,50,17,45.0,6,737,90,6.0,31.0,4.0,1,11,11,30
60,0,22.0,44.0,21,44,20,46,21,47,19,51.0,6.0,87,18,43.0,19,51,17,46.0,6,737,90,6.0,28.0,4.0,1,11,11,40
40,0,21.0,44.0,21,44,20,46,21,47,19,51.0,6.0,88,18,44.0,19,51,17,46.0,5,737,91,6.0,25.0,4.0,1,11,11,50
40,0,21.0,45.0,21,44,20,46,21,47,19,51.0,6.0,89,18,44.0,19,51,17,46.0,5,737,92,6.0,22.0,4.0,1,12,0,0
30,0,21.0,45.0,21,44,20,46,21,47,19,50.0,6.0,89,18,44.0,19,52,17,46.0,5,737,92,6.0,25.0,4.0,1,12,0,10
40,0,21.0,45.0,21,44,20,46,20,47,19,50.0,6.0,89,18,44.0,19,52,17,46.0,5,737,92,6.0,28.0,4.0,1,12,0,20
50,0,21.0,45.0,21,44,20,46,20,47,19,50.0,6.0,89,18,45.0,19,52,17,46.0,5,737,92,6.0,31.0,4.0,1,12,0,30
50,0,21.0,46.0,20,44,20,46,22,47,19,50.0,5.0,91,18,46.0,19,54,17,46.0,5,738,92,6.0,40.0,4.0,1,12,1,30
40,0,21.0,46.0,20,44,20,46,22,46,19,50.0,5.0,92,18,46.0,19,54,17,46.0,5,738,92,5.0,40.0,4.0,1,12,1,40
50,0,21.0,46.0,20,44,20,46,22,46,19,50.0,4.0,92,18,46.0,19,54,17,47.0,5,738,92,5.0,40.0,4.0,1,12,1,50
40,0,21.0,46.0,20,44,20,46,22,46,19,50.0,4.0,92,18,46.0,19,55,17,47.0,5,738,92,5.0,40.0,4.0,1,12,2,0
